result,Time,subject,id.rec,Ear.Tag,Trial,Trial.Day,Treatment,td.Other, tn.Other,td.Standing1 ,tn.Standing1 ,td.Standing2,tn.Standing2 ,td.Standing3, tn.Standing3,td.Lying1 ,tn.Lying1 ,td.Lying2, tn.Lying2, td.Lying3, tn.Lying3 ,td.Lying4 ,tn.Lying4 ,td.Lying5,tn.Lying5, td.Lying6, tn.Lying6 ,td.Feeding, tn.Feeding, td.Out.of.viex, tn.Out.of.viex ,td.Disturbance, tn.Disturbance, td.Head.S ,tn.Head.S,td.Scratching, tn.Scratching ,td.Drinking ,tn.Drinking ,td.Calf.ID ,tn.Date.of.Observation ,td.\tObserver, tn.\tDuration ,td.\tStart.time, tn.\tStop.time, td.\tAnalyzed.duration ,tn.\tMinimum.interval, td.\tMaximum.interval ,tn.\tNumber.of.intervals ,td.\tTotal.interval.duration
Results,0.00-4055.07,1,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,10,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,11,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,12,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,2,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,3,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,4,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,5,13. calf 8_5,8951,1,-1,,3.53,1,246.93,9,182.4,3,173.13,8,2159.41,9,18.17,1,0,0,171.36,5,0,0,52.03,1,1048.1,12,0,0,0,0,0,0,0,2,0,3,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,6,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
Results,0.00-4055.07,7,13. calf 8_5,,,,,4055.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8_5,130529,BJW,4055.07,40:27.5,48:02.5,4055.07,4055.07,4055.07,1,4055.07
