Run 3,Ear.Tag,eye,Treatment.2
3,427,left,yellow
3,3735,left,yellow
3,3737,right,yellow
2,9081,left,yellow
2,9083,left,yellow
2,9054,right,yellow
2,9079,left,yellow
1,8951,left,yellow
1,8973,right,yellow
1,8966,right,yellow
1,8958,right,yellow
3,3738,left,red
3,3730,right,red
3,5016,right,red
2,9088,right,red
2,9052,right,red
2,9078,right,red
1,8980,right,red
1,8971,left,red
1,8968,left,red
1,8976,left,red
3,3728,right,blue
3,424,right,blue
3,417,left,blue
2,9063,right,blue
2,9056,left,blue
2,9073,left,blue
1,8965,right,blue
1,8960,right,blue
1,8974,left,blue
1,8967,right,blue
